Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Chalet,North Coast,2.0,65.0,90000,632903.6028979317,85.8
Town House,New Capital City,4.0,350.0,350000,2449478.038997845,85.7
Chalet,North Coast,2.0,102.0,195000,1362028.944314226,85.7
Town House,North Coast,3.0,145.0,435000,3012555.858430897,85.6
Chalet,North Coast,2.0,97.0,138000,957952.8541308921,85.6
Chalet,Ain Sukhna,2.0,83.0,100000,693019.6807426382,85.6
Apartment,Zahraa Al Maadi,2.0,115.0,90000,627036.5233079927,85.6
Stand Alone Villa,New Hut - El Tagamoa,3.0,216.0,485000,3328052.19766651,85.4
Chalet,North Coast,1.0,71.0,190000,1289523.770329094,85.3
Stand Alone Villa,Sheikh Zayed,4.0,264.0,325000,2215982.8207008257,85.3
Twin House,North Coast,5.0,357.0,790000,5389642.6338775875,85.3
Chalet,North Coast,2.0,85.0,220000,1495921.7260609476,85.3
Chalet,North Coast,2.0,102.0,200000,1362028.944314226,85.3
Chalet,North Coast,3.0,125.0,240000,1607166.808654436,85.1
Apartment,New Hut - El Tagamoa,3.0,165.0,186000,1248688.0336203275,85.1
Town House,North Coast,3.0,150.0,290000,1927345.5214352508,85.0
Apartment,New Hut - El Tagamoa,4.0,190.0,410000,2730977.576240919,85.0
Chalet,Alamein,2.0,110.0,95000,635275.9220476598,85.0
Stand Alone Villa,New Hut - El Tagamoa,5.0,375.0,500000,3309412.725661505,84.9
Chalet,North Coast,3.0,125.0,280000,1850405.755190384,84.9
Town House,North Coast,3.0,175.0,493500,3245180.0550725744,84.8
Stand Alone Villa,New Capital City,4.0,240.0,225000,1482665.1923190712,84.8
Town House,North Coast,3.0,156.0,410000,2696959.850072236,84.8
Stand Alone Villa,New Capital City,6.0,514.0,440000,2881760.681334311,84.7
Chalet,Ain Sukhna,2.0,96.0,208000,1363904.4554881284,84.7
Stand Alone Villa,New Hut - El Tagamoa,4.0,265.0,500000,3273185.469159328,84.7
Town House,Sheikh Zayed,4.0,313.0,472000,3084974.234676931,84.7
Chalet,Ain Sukhna,2.0,111.0,227000,1485134.401672381,84.7
Apartment,New Hut - El Tagamoa,3.0,160.0,260000,1697710.9653167406,84.7
Stand Alone Villa,New Capital City,4.0,387.0,250000,1626792.2306238934,84.6
